# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, IMAGE_NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
80 -0.4776319230641431 -0.09553729005082309 0.6356675061504727 0.5988882983530671 -0.6224335613282462 -0.8549583670982926 0.8203886668001528 1 frame_00080.png

79 -0.46041759127489323 -0.09256520967834317 0.6426791389289354 0.6053187986403463 -0.6273824850774828 -0.8614814239605293 0.819072507680214 1 frame_00079.png

78 -0.4436503273837213 -0.08876315198243134 0.6489563703842786 0.6116789347362911 -0.63079409444055 -0.8701911202392663 0.829986157247662 1 frame_00078.png

77 -0.4269214268240964 -0.08475039878297033 0.654807112161729 0.6178860016920776 -0.6327927435353041 -0.8721670873690551 0.8493461890436157 1 frame_00077.png

76 -0.40948230753626175 -0.08072501890489946 0.6602059407928184 0.6244484181094959 -0.6399512627678384 -0.8676547453594174 0.8685054694592738 1 frame_00076.png

75 -0.3922613450009192 -0.07616253511793664 0.6653032965646712 0.6306360511758424 -0.649392586806232 -0.8584870731540925 0.8844857014191703 1 frame_00075.png

74 -0.37530607433594754 -0.07176946670991029 0.6697878121662497 0.636693631889203 -0.6615744292828294 -0.8482682111619442 0.9022816928731247 1 frame_00074.png

73 -0.3429287278654969 -0.06445303901149874 0.6769458135411898 0.6480664000669925 -0.6807373009156811 -0.8251634023135885 0.9198085831222517 1 frame_00072.png

72 -0.35882585198782285 -0.06773026061614562 0.6737258801322503 0.6424562694706206 -0.6720551319291084 -0.8372448105417886 0.9139164723540635 1 frame_00073.png

71 -0.327303885884975 -0.06229420272199329 0.6791167921172426 0.6540580870658298 -0.6869947622026865 -0.8143043408472951 0.9061869842265515 1 frame_00071.png

70 -0.3119811461485762 -0.06076285699326985 0.6805393096323084 0.6601832228275855 -0.686795799096244 -0.8053844404241992 0.8868624621802069 1 frame_00070.png

69 -0.27844723176481206 -0.06078727561185063 0.6840357484045686 0.6714664110369214 -0.6878321899555748 -0.8143539873159693 0.8197540251979198 1 frame_00068.png

68 -0.2604859563895703 -0.0621056098882811 0.687599900686633 0.6749046868409999 -0.6744725330182403 -0.8129630559962161 0.8130452891886975 1 frame_00067.png

67 -0.29560911828146635 -0.06006788033672493 0.6817987426196699 0.6664514787311556 -0.6881418360581465 -0.804781263380726 0.8565415711910715 1 frame_00069.png

66 -0.24068691540035703 -0.06499175170099525 0.691735741368837 0.6777518314831785 -0.6660986832835053 -0.799734823027201 0.8206296680765136 1 frame_00066.png

65 -0.19632818588155823 -0.07618449963446454 0.7015244561262016 0.6808190676683047 -0.6689989491302188 -0.7573739904778707 0.8199663203852723 1 frame_00064.png

64 -0.07024831742440218 -0.09074515671870732 0.7172697359764904 0.6872805950144042 -0.7229317554274575 -0.6747457301832139 0.8259053367000198 1 frame_00059.png

63 -0.17189609595111774 -0.0846641611188724 0.7056595370282868 0.682149785472242 -0.6784063453391607 -0.7473276155453799 0.8025169285690857 1 frame_00063.png

62 -0.2191978454198267 -0.06980574753684793 0.6967222267442545 0.6794538990503001 -0.6649651714166659 -0.7779237859941467 0.8200322539435267 1 frame_00065.png

61 -0.146285977563863 -0.09375520634493698 0.7095200051810739 0.6829287929932755 -0.6860441786312675 -0.7412216427932901 0.7901129901600252 1 frame_00062.png

60 -0.12065525980262769 -0.10053156842549033 0.7130737525838369 0.6832726654915127 -0.6912794236621264 -0.7295815516096965 0.7887646901973938 1 frame_00061.png

29 0.396410646822314 0.05445413561292505 0.6824636101104443 0.6116672028771718 -0.17458775570399418 -0.28154550690514807 0.9494747649075828 1 frame_00029.png

28 0.40861826261523676 0.0567509777075039 0.6794663828834511 0.6067420180915669 -0.14204712229342503 -0.27528867781779265 0.936672353567521 1 frame_00028.png

27 0.42037193772381737 0.05830526926021464 0.6767619000859953 0.6015656740064299 -0.10426466885840573 -0.27005396065482334 0.9303523203171983 1 frame_00027.png

26 0.4324116653799649 0.05899075670606763 0.6733496402731606 0.5967750867877917 -0.06764898611538489 -0.26865096746403794 0.9122640054449858 1 frame_00026.png

25 0.44359037043143656 0.05979774600981784 0.6702113425415125 0.5920038590763999 -0.02457013096354569 -0.2625931509291488 0.8881592054162069 1 frame_00025.png

24 0.47528241148779243 0.05889727484435713 0.6615658984430204 0.577034056502332 0.11224928188758332 -0.23714619670642464 0.8635359047616785 1 frame_00022.png

23 0.4648984615805262 0.05964579508191447 0.664455888783043 0.5820740257137771 0.06417405930876156 -0.24435916065542035 0.8721531913925068 1 frame_00023.png

22 0.4541956094195065 0.06008793065256351 0.6675554365841156 0.5869118571480105 0.019727089486538597 -0.25305519567496765 0.8867743524595313 1 frame_00024.png

21 0.4853633508724071 0.05780333010719446 0.6586347671761763 0.572085165098005 0.16381534151684543 -0.22872840374614523 0.8530577800277969 1 frame_00021.png

20 0.49514370907645416 0.05630183858565505 0.6555912422409717 0.5673296514644959 0.21445633682507498 -0.22197189596509045 0.8451245285118555 1 frame_00020.png

19 0.5048832458622755 0.05445205979044696 0.6524658108975211 0.562508886011582 0.26169369896072514 -0.22030503570858842 0.8396392940778148 1 frame_00019.png

18 0.5146603729149566 0.05197956657594765 0.6491538766140454 0.5576935266672649 0.3096090826758784 -0.22596547556376717 0.8423999137910165 1 frame_00018.png

17 0.5237456013864744 0.049940212761661364 0.6456277687038283 0.5534991458495274 0.363894714201192 -0.23398773030129721 0.8400944150362891 1 frame_00017.png

16 0.5323712584715236 0.04746552550819788 0.6426360102855393 0.5489506583710061 0.4235731811161924 -0.23876071482987687 0.859444923749194 1 frame_00016.png

15 0.5407803247109176 0.044814998656103 0.6394518182235686 0.5446555135786108 0.4803313336753076 -0.24363373838455957 0.889085218439904 1 frame_00015.png

14 0.5494178100809388 0.04252463452300056 0.635188160687177 0.5411725472965088 0.53458749861246 -0.2470781483602516 0.902905133634106 1 frame_00014.png

1 0.6599880482490457 0.012815928543476724 0.5558921010198047 0.5052083730182738 1.0340830212798824 -0.3161331202039246 1.0529102641948314 1 frame_00001.png

2 0.5759382868514953 0.03511547259082226 0.6206061601467595 0.5309519632802792 0.6709395738002787 -0.25459999180157794 0.9591560675824552 1 frame_00011.png

3 0.5669695216123593 0.03773261396980893 0.6260082836771962 0.534074377004916 0.6326683742244972 -0.2507381753029405 0.9414424614620578 1 frame_00012.png

4 0.6394797733997013 0.0182340866051738 0.5728191000464535 0.512456257762858 0.9143338789321049 -0.30714387485827876 1.018908681637509 1 frame_00004.png

5 0.6470850795143587 0.016254635144152183 0.5665276146223205 0.50996386987371 0.9537050149848677 -0.3086707505068303 1.026963367300084 1 frame_00003.png

6 0.5580722594269271 0.04013118487153687 0.6309488854291488 0.5374461324027237 0.5874400933146326 -0.2490242035470921 0.9248494784754457 1 frame_00013.png

7 0.6312636757305687 0.020528161725457548 0.5794173851298178 0.515131303735882 0.8750133082005921 -0.30393106782925683 1.0101354480644875 1 frame_00005.png

8 0.6539042832634758 0.014328744237582286 0.5609605653662085 0.5074712992103866 0.9917759877319772 -0.3112704211556743 1.0406276291530945 1 frame_00002.png

9 0.6039983775402991 0.027813738436294186 0.6008963272471973 0.5228154165513036 0.7745718640106872 -0.28253470873090153 0.9908609690396181 1 frame_00008.png

10 0.613400978098288 0.025351035652075943 0.5936693180734367 0.5202435062907097 0.8069221422393433 -0.2915383005991256 1.001569144253411 1 frame_00007.png

11 0.6224228141827359 0.022940015502757503 0.5865619481640857 0.5176955447360244 0.839072175531531 -0.29835361762272644 1.0068619575539317 1 frame_00006.png

12 0.5849453616615672 0.03260068217391913 0.6147287425319663 0.5280953441353949 0.707193802563272 -0.2621359302411962 0.9738056298554411 1 frame_00010.png

13 0.5943514071195738 0.030064693914385127 0.6081782978336953 0.5253205469795809 0.7412708867675943 -0.2725210922861622 0.9837942738970175 1 frame_00009.png

30 0.3836328188916235 0.0511788245883359 0.6852754999130728 0.6169311772004326 -0.20290127884635153 -0.2867119630354484 0.9534440403586659 1 frame_00030.png

31 0.37036479702750336 0.04726821336016428 0.6880555900531024 0.6222339898504351 -0.23073337083657933 -0.2910505598316079 0.94932100650412 1 frame_00031.png

32 0.356810720605129 0.04322728026648315 0.69060853753117 0.6275964944062946 -0.25920396438387444 -0.2964669042448849 0.9374015015574476 1 frame_00032.png

33 0.34282741604014405 0.03909519968007413 0.6933297990721393 0.6326410656065572 -0.2859488563185779 -0.30118201221045365 0.9273154830375598 1 frame_00033.png

